City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Hobyo,SO,2021-05-25 19:55:10,5.3505,48.5268,78.89,79,52,22.77
108,Neryungri,RU,2021-05-25 19:55:11,56.6709,124.6491,32.56,97,99,1.77
109,San Rafael,AR,2021-05-25 19:50:37,-34.6177,-68.3301,62.35,32,24,2.62
110,Mogadishu,SO,2021-05-25 19:53:23,2.0371,45.3438,79.2,77,0,17.09
111,Katherine,AU,2021-05-25 19:55:11,-14.4667,132.2667,66.52,88,4,6.42
112,Talitsa,RU,2021-05-25 19:55:11,56.8804,60.0213,63.14,93,82,6.38
113,Samarai,PG,2021-05-25 19:55:11,-10.6167,150.6667,78.6,68,100,15.82
114,Hasaki,JP,2021-05-25 19:55:12,35.7333,140.8333,57.6,74,100,9.78
115,Maua,BR,2021-05-25 19:55:12,-23.6678,-46.4614,76.46,48,36,5.01
116,Kirakira,SB,2021-05-25 19:55:12,-10.4544,161.9205,76.23,79,73,9.19
117,Aykhal,RU,2021-05-25 19:55:12,66.0,111.5,38.39,96,100,5.93
118,Hithadhoo,MV,2021-05-25 19:55:13,-0.6,73.0833,84.15,68,100,19.62
119,Coquimbo,CL,2021-05-25 19:55:13,-29.9533,-71.3436,60.53,72,0,4.94
120,Haines Junction,CA,2021-05-25 19:55:13,60.7522,-137.5108,51.67,62,91,2.37
121,Trelew,AR,2021-05-25 19:55:13,-43.249,-65.3051,51.28,34,25,6.33
122,San Patricio,US,2021-05-25 19:55:14,28.017,-97.5169,89.17,72,77,17.6
123,Maneadero,MX,2021-05-25 19:55:14,31.7167,-116.5667,78.19,78,46,3.0
124,Howell,US,2021-05-25 19:55:14,42.6073,-83.9294,88.11,41,40,13.8
125,Coahuayana,MX,2021-05-25 19:55:14,18.7333,-103.6833,92.3,38,1,8.25
126,Krk,HR,2021-05-25 19:55:14,45.0258,14.5731,63.59,76,6,22.35
127,Aguada De Pasajeros,CU,2021-05-25 19:55:15,22.385,-80.8508,93.97,35,16,10.33
128,Necochea,AR,2021-05-25 19:55:15,-38.5473,-58.7368,53.04,53,6,17.72
129,Saint Anthony,US,2021-05-25 19:55:15,45.0205,-93.218,86.76,43,5,4.0
130,Jamestown,US,2021-05-25 19:50:18,42.097,-79.2353,86.29,55,75,7.0
131,Cantavir,RS,2021-05-25 19:55:15,45.9219,19.7627,54.52,61,98,13.98
132,Rawson,AR,2021-05-25 19:55:16,-43.3002,-65.1023,51.03,35,35,7.34
133,Buba,GW,2021-05-25 19:55:16,11.5833,-15.0,81.73,59,78,10.31
134,Cidreira,BR,2021-05-25 19:55:16,-30.1811,-50.2056,63.82,53,0,11.52
135,Bullhead City,US,2021-05-25 19:55:16,35.1478,-114.5683,98.94,9,75,11.5
136,Rabak,SD,2021-05-25 19:55:17,13.1809,32.74,95.32,10,99,4.76
137,Tasiilaq,GL,2021-05-25 19:55:17,65.6145,-37.6368,35.56,89,100,48.9
138,Nsanje,MW,2021-05-25 19:55:17,-16.92,35.262,61.65,88,7,0.87
139,Sioux Lookout,CA,2021-05-25 19:55:17,50.1001,-91.917,78.87,36,40,10.36
140,Lebu,CL,2021-05-25 19:55:18,-37.6167,-73.65,57.97,79,83,4.56
141,Shelburne,CA,2021-05-25 19:55:18,44.0787,-80.2041,85.89,35,92,17.92
142,Svetlyy,RU,2021-05-25 19:55:18,54.675,20.1347,53.65,92,98,5.55
143,Torbay,CA,2021-05-25 19:55:18,47.6666,-52.7314,54.37,61,40,29.93
144,Tunkas,MX,2021-05-25 19:55:18,20.9,-88.75,92.48,43,99,8.84
145,Iqaluit,CA,2021-05-25 19:55:19,63.7506,-68.5145,29.93,86,90,10.0
146,Vaitape,PF,2021-05-25 19:55:19,-16.5167,-151.75,80.83,71,98,10.49
147,Chumikan,RU,2021-05-25 19:55:19,54.7183,135.315,31.86,90,100,2.62
148,Thinadhoo,MV,2021-05-25 19:55:20,0.5333,72.9333,84.2,66,100,20.27
149,Saint-Philippe,RE,2021-05-25 19:55:20,-21.3585,55.7679,71.15,83,51,9.6
150,Airai,TL,2021-05-25 19:55:20,-8.9266,125.4092,58.08,93,35,3.44
151,Wad Rawah,SD,2021-05-25 19:55:20,15.1603,33.1397,94.03,10,0,9.8
152,Alyangula,AU,2021-05-25 19:55:20,-13.8483,136.4192,66.07,100,93,11.45
153,Bereznik,RU,2021-05-25 19:55:21,62.8551,42.7072,37.72,97,100,6.85
154,Birobidzhan,RU,2021-05-25 19:55:21,48.8,132.95,42.26,96,88,4.52
155,Nikolsk,RU,2021-05-25 19:55:21,53.7189,46.0712,51.78,87,8,4.38
156,Anqing,CN,2021-05-25 19:55:21,30.5092,117.0506,70.39,94,100,3.31
157,Srikakulam,IN,2021-05-25 19:55:22,18.3,83.9,84.49,50,100,12.59
158,Kaitangata,NZ,2021-05-25 19:55:22,-46.2817,169.8464,35.29,66,100,3.4
159,Kudat,MY,2021-05-25 19:55:22,6.8837,116.8477,77.29,94,20,0.0
160,Constantine,DZ,2021-05-25 19:55:22,36.365,6.6147,65.61,68,0,11.5
161,Arcata,US,2021-05-25 19:52:15,40.8665,-124.0828,64.67,77,75,1.01
162,Bar Harbor,US,2021-05-25 19:50:53,44.3876,-68.2039,70.29,61,1,24.0
163,Pinega,RU,2021-05-25 19:55:23,64.7001,43.3936,34.25,83,100,7.76
164,Khatanga,RU,2021-05-25 19:55:23,71.9667,102.5,30.74,97,100,6.22
165,Ancud,CL,2021-05-25 19:55:23,-41.8697,-73.8203,49.53,95,100,12.82
166,Kahului,US,2021-05-25 19:55:23,20.8947,-156.47,82.98,74,28,10.0
167,Bilibino,RU,2021-05-25 19:55:24,68.0546,166.4372,39.58,77,100,5.35
168,Aloleng,PH,2021-05-25 19:55:24,16.1307,119.7824,82.24,76,8,3.04
169,Faanui,PF,2021-05-25 19:55:24,-16.4833,-151.75,80.85,71,100,10.58
170,Zahirabad,IN,2021-05-25 19:55:24,17.6833,77.6167,86.76,25,100,8.23
171,Geraldton,AU,2021-05-25 19:55:25,-28.7667,114.6,49.12,87,36,14.81
172,Jumla,NP,2021-05-25 19:55:25,29.2747,82.1838,53.92,92,100,1.7
173,Greensburg,US,2021-05-25 19:55:25,40.3015,-79.5389,88.99,53,40,11.01
174,Nishihara,JP,2021-05-25 19:55:25,26.1842,127.7558,76.28,94,75,7.11
175,Vangaindrano,MG,2021-05-25 19:55:26,-23.35,47.6,65.14,90,14,2.3
176,Dunedin,NZ,2021-05-25 19:52:43,-45.8742,170.5036,39.79,81,100,3.56
177,Hofn,IS,2021-05-25 19:55:26,64.2539,-15.2082,45.0,83,92,14.85
178,Saint-Augustin,CA,2021-05-25 19:55:26,51.226,-58.6502,61.72,46,100,21.18
179,Port Blair,IN,2021-05-25 19:55:27,11.6667,92.75,82.6,84,85,21.21
180,Rovaniemi,FI,2021-05-25 19:55:12,66.5,25.7167,47.61,53,0,2.3
181,Huntington,US,2021-05-25 19:51:54,38.4193,-82.4452,91.65,46,100,1.01
182,Broadstairs,GB,2021-05-25 19:55:27,51.3591,1.4394,53.92,65,38,4.0
183,Alofi,NU,2021-05-25 19:55:27,-19.0595,-169.9187,80.49,83,75,9.22
184,Bacolod,PH,2021-05-25 19:55:27,10.6667,122.95,79.77,83,82,1.28
