City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Moncao,PT,78.51,broken clouds,42.0789,-8.4808,Hotel Bienestar Termas de Monção
242,Mizdah,LY,79.57,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
243,Alikalia,SL,76.12,light rain,9.1667,-11.4,
244,Sao Filipe,CV,75.72,clear sky,14.8961,-24.4956,Hotel Xaguate
245,Jalu,LY,89.29,clear sky,29.0331,21.5482,صاحبة الفخامة
246,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
248,Ambajogai,IN,85.15,overcast clouds,18.7333,76.3833,Hotel Krushnai
251,Sabang,ID,82.42,overcast clouds,5.8933,95.3214,Hotel Citra
254,Bandrele,YT,78.55,clear sky,-12.9067,45.1914,Les Baobabs
255,Buxar,IN,77.07,light rain,25.5833,83.9833,Vaishnavi Clarks Inn BUXAR
257,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
260,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
263,Hobyo,SO,79.48,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
269,Samarai,PG,78.21,overcast clouds,-10.6167,150.6667,Nuli Sapi
271,Puerto Ayacucho,VE,76.6,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
273,Det Udom,TH,80.42,broken clouds,14.905999999999999,105.0784,Chatsuda Resort
276,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
277,Rogers,US,81.16,overcast clouds,36.3668,-95.5836,Claremore Motor Inn
279,Kaduna,NG,85.1,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
281,Korla,CN,78.8,overcast clouds,41.7597,86.1469,Gulisitan Hotel
283,Evanston,US,81.21,few clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
284,Tabou,CI,80.87,broken clouds,4.423,-7.3528,hotêl doufoulougou
290,Puerto Carreno,CO,79.77,light rain,6.189,-67.4859,Casa Hotel Victoria
294,Biak,ID,76.62,overcast clouds,-0.9131,122.8766,Penginapan Kim
295,Kavieng,PG,79.9,light rain,-2.5744,150.7967,Nusa Island Retreat
301,Umm Kaddadah,SD,86.04,overcast clouds,13.6017,26.6876,
302,Katobu,ID,75.7,broken clouds,-4.9408,122.5276,La Ode Husein
